id,tweet,class,Mina,,Sherif,,Mostafa
271, فينو الاهبل ابن الاهبل ',neg,anger,,anger,1,
131, على المصرييييين وجمالهم ربنا يحميهم #MinaAtta http://t.co/NkOvSx6mgD ',pos,happiness,,happiness,1,
118, @Kholoudkewan  دول كتير اوى ودمهم خفيف العمارة اللي انا فيها كلها سوريين والأطفال عسل ',pos,happiness,,happiness,1,
6, انا بعد كده  خلى اللى يوعنى   بحاجه همضى على وصل امانه علشان اضمن انو مش يخون ',neg,anger,,surprise,FALSE,
3430, انا هنتحر ',neg,sadness,,sadness,1,
4, في حفظ الله يا ريس http://t.co/RGKtP9QHZB ',pos,relaxed,,happiness,FALSE,
5, يا عيون عطشان عطشانة سهر يا قلوب تعبانة تعبانة سفر كتروا من الحب تلاقوا تلاقوا في الضلمة ألف قمر ',pos,sadness,,sadness,1,
10, #زهقنا_من اسامي اكونتات البنات على مواقع التواصل الاجتماعي زي مثلا شروق الشمس و الذهب الأزرق و أي بطيخ و السلام ',neg,anger,,disgust,FALSE,
11, @Omarr793 حمد الله ع السلامة ✋ ',pos,happiness,,happiness,1,
12, @ahmedeslam07 أحا مين ؟! ',neg,surprise,,surprise,1,
13, لما تشوف حد واحشك كان بقالك كتير مشفتوش♡ ',pos,happiness,,happiness,1,
14, دعاء نازله الجنينة حياتى♥ #StaracArabia  #DoaaElSebaii  دعاء السباعي دعاء السباعى دعاء السباعى ',pos,happiness,,happiness,1,
15, @f7271c87648b4c5 لحد دلوقتي بيقول انه فاهم ...مش عارفه ليه حاسه انه بيكذب ',neg,fear,,disgust,FALSE,
17, @MhmoudElgameil انا مشروخ مشروخ يا جمي ',neg,sadness,,sadness,1,
20," """"""مشيشتش بقالي أسبوع، انه إنجاز :D"""""""" '",pos,happiness,,disgust,FALSE,
24, كفايه البصه اللي ببصها لحد و انا مش طايق الحد ده .. ',neg,anger,,disgust,FALSE,
